municipality,type,year,category,source,value
Арбат,расходы,2018,Средства массовой информации,http://budget.mos.ru,0
Арбат,расходы,2018,Расходы: итого,http://budget.mos.ru,8.4
Аэропорт,доходы,2018,Налоговые доходы,http://budget.mos.ru,6.8
Аэропорт,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0.05
Аэропорт,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.4
Аэропорт,доходы,2018,Доходы: итого,http://budget.mos.ru,8.3
Аэропорт,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,6.9
Аэропорт,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.5
Аэропорт,расходы,2018,Социальная политика,http://budget.mos.ru,0.5
Аэропорт,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Аэропорт,расходы,2018,Расходы: итого,http://budget.mos.ru,8
Бабушкинский,доходы,2018,Налоговые доходы,http://budget.mos.ru,7.3
Бабушкинский,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Бабушкинский,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.2
Бабушкинский,доходы,2018,Доходы: итого,http://budget.mos.ru,8.5
Бабушкинский,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7.4
Бабушкинский,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.2
Бабушкинский,расходы,2018,Социальная политика,http://budget.mos.ru,0.9
Бабушкинский,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Бабушкинский,расходы,2018,Расходы: итого,http://budget.mos.ru,8.6
Басманный,доходы,2018,Налоговые доходы,http://budget.mos.ru,7.1
Басманный,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Басманный,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.4
Басманный,доходы,2018,Доходы: итого,http://budget.mos.ru,8.5
Басманный,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7.3
Басманный,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.6
Басманный,расходы,2018,Социальная политика,http://budget.mos.ru,0.3
Басманный,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.8
Басманный,расходы,2018,Расходы: итого,http://budget.mos.ru,9
Беговой,доходы,2018,Налоговые доходы,http://budget.mos.ru,6.8
Беговой,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Беговой,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Беговой,доходы,2018,Доходы: итого,http://budget.mos.ru,8
Беговой,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,6
Беговой,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.4
Беговой,расходы,2018,Социальная политика,http://budget.mos.ru,0.7
Беговой,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Беговой,расходы,2018,Расходы: итого,http://budget.mos.ru,7.2
Бескудниковский,доходы,2018,Налоговые доходы,http://budget.mos.ru,6.3
Бескудниковский,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Бескудниковский,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Бескудниковский,доходы,2018,Доходы: итого,http://budget.mos.ru,7.4
Бескудниковский,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,8.2
Бескудниковский,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.6
Бескудниковский,расходы,2018,Средства массовой информации,http://budget.mos.ru,0
Бескудниковский,расходы,2018,Расходы: итого,http://budget.mos.ru,8.8
Бибирево,доходы,2018,Налоговые доходы,http://budget.mos.ru,10.7
Бибирево,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Бибирево,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.7
Бибирево,доходы,2018,Доходы: итого,http://budget.mos.ru,12.4
Бибирево,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,8.8
Бибирево,расходы,2018,Жилищно-коммунальное хозяйство,http://budget.mos.ru,0
Бибирево,расходы,2018,Образование,http://budget.mos.ru,0.2
Бибирево,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.8
Бибирево,расходы,2018,Социальная политика,http://budget.mos.ru,0.8
Бибирево,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Бибирево,расходы,2018,Расходы: итого,http://budget.mos.ru,10.8
Бирюлево Восточное,доходы,2018,Налоговые доходы,http://budget.mos.ru,9.5
Бирюлево Восточное,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Бирюлево Восточное,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.7
Бирюлево Восточное,доходы,2018,Доходы: итого,http://budget.mos.ru,11.1
Бирюлево Восточное,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7.8
Бирюлево Восточное,расходы,2018,Национальная безопасность и правоохранительная деятельность,http://budget.mos.ru,0.3
Бирюлево Восточное,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.8
Бирюлево Восточное,расходы,2018,Социальная политика,http://budget.mos.ru,0.9
Бирюлево Восточное,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.4
Бирюлево Восточное,расходы,2018,Расходы: итого,http://budget.mos.ru,11.2
Бирюлево Западное,доходы,2018,Налоговые доходы,http://budget.mos.ru,7.4
Бирюлево Западное,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Бирюлево Западное,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.2
Бирюлево Западное,доходы,2018,Доходы: итого,http://budget.mos.ru,8.6
Бирюлево Западное,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,6.2
Бирюлево Западное,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.9
Бирюлево Западное,расходы,2018,Социальная политика,http://budget.mos.ru,0.3
Бирюлево Западное,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.4
Бирюлево Западное,расходы,2018,Расходы: итого,http://budget.mos.ru,7.8
Богородское,доходы,2018,Налоговые доходы,http://budget.mos.ru,8.1
Богородское,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Богородское,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.7
Богородское,доходы,2018,Доходы: итого,http://budget.mos.ru,9.8
Богородское,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7.5
Богородское,расходы,2018,Образование,http://budget.mos.ru,0.4
Богородское,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.3
Богородское,расходы,2018,Социальная политика,http://budget.mos.ru,0.3
Богородское,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.4
Богородское,расходы,2018,Расходы: итого,http://budget.mos.ru,9.8
Братеево,доходы,2018,Налоговые доходы,http://budget.mos.ru,11.9
Братеево,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Братеево,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.2
Братеево,доходы,2018,Доходы: итого,http://budget.mos.ru,13.2
Братеево,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,5.5
Братеево,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.3
Братеево,расходы,2018,Социальная политика,http://budget.mos.ru,0.3
Братеево,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.4
Братеево,расходы,2018,Расходы: итого,http://budget.mos.ru,7.5
Бутырский,доходы,2018,Налоговые доходы,http://budget.mos.ru,7.5
Бутырский,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Бутырский,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Бутырский,доходы,2018,Доходы: итого,http://budget.mos.ru,8.6
Бутырский,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,5.4
Бутырский,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.4
Бутырский,расходы,2018,Социальная политика,http://budget.mos.ru,0.5
Бутырский,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Бутырский,расходы,2018,Расходы: итого,http://budget.mos.ru,7.4
Вешняки,доходы,2018,Налоговые доходы,http://budget.mos.ru,8.7
Вешняки,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Вешняки,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.7
Вешняки,доходы,2018,Доходы: итого,http://budget.mos.ru,10.4
Вешняки,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,8.9
Вешняки,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.7
Вешняки,расходы,2018,Социальная политика,http://budget.mos.ru,1
Вешняки,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.4
Вешняки,расходы,2018,Расходы: итого,http://budget.mos.ru,11.9
Внуково,доходы,2018,Налоговые доходы,http://budget.mos.ru,6.6
Внуково,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Внуково,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Внуково,доходы,2018,Доходы: итого,http://budget.mos.ru,7.7
Внуково,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7
Внуково,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.3
Внуково,расходы,2018,Социальная политика,http://budget.mos.ru,1.4
Внуково,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.2
Внуково,расходы,2018,Расходы: итого,http://budget.mos.ru,8.9
Войковский,доходы,2018,Налоговые доходы,http://budget.mos.ru,8
Войковский,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Войковский,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Войковский,доходы,2018,Доходы: итого,http://budget.mos.ru,9.1
Войковский,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,8.1
Войковский,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.6
Войковский,расходы,2018,Социальная политика,http://budget.mos.ru,1.6
Войковский,расходы,2018,Средства массовой информации,http://budget.mos.ru,0
Войковский,расходы,2018,Расходы: итого,http://budget.mos.ru,10.3
Восточное Дегунино,доходы,2018,Налоговые доходы,http://budget.mos.ru,8.6
Восточное Дегунино,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Восточное Дегунино,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Восточное Дегунино,доходы,2018,Доходы: итого,http://budget.mos.ru,9.7
Восточное Дегунино,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7.7
Восточное Дегунино,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.2
Восточное Дегунино,расходы,2018,Социальная политика,http://budget.mos.ru,0.9
Восточное Дегунино,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Восточное Дегунино,расходы,2018,Расходы: итого,http://budget.mos.ru,9.9
Восточное Измайлово,доходы,2018,Налоговые доходы,http://budget.mos.ru,6.9
Восточное Измайлово,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Восточное Измайлово,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Восточное Измайлово,доходы,2018,Доходы: итого,http://budget.mos.ru,8
Восточное Измайлово,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,8.3
Восточное Измайлово,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.7
Восточное Измайлово,расходы,2018,Социальная политика,http://budget.mos.ru,0.8
Восточное Измайлово,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.4
Восточное Измайлово,расходы,2018,Расходы: итого,http://budget.mos.ru,10.3
Восточный,доходы,2018,Налоговые доходы,http://budget.mos.ru,5.3
Восточный,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Восточный,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Восточный,доходы,2018,Доходы: итого,http://budget.mos.ru,6.4
Восточный,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,5.8
Восточный,расходы,2018,Социальная политика,http://budget.mos.ru,0.1
Восточный,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.4
Восточный,расходы,2018,Расходы: итого,http://budget.mos.ru,6.3
Выхино-Жулебино,доходы,2018,Налоговые доходы,http://budget.mos.ru,10.7
Выхино-Жулебино,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Выхино-Жулебино,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,2.3
Выхино-Жулебино,доходы,2018,Доходы: итого,http://budget.mos.ru,13
Выхино-Жулебино,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,10.4
Выхино-Жулебино,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.1
Выхино-Жулебино,расходы,2018,Социальная политика,http://budget.mos.ru,0.5
Выхино-Жулебино,расходы,2018,Средства массовой информации,http://budget.mos.ru,1.4
Выхино-Жулебино,расходы,2018,Расходы: итого,http://budget.mos.ru,13.5
Гагаринский,доходы,2018,Налоговые доходы,http://budget.mos.ru,6.6
Гагаринский,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0.01
Гагаринский,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,21.9
Гагаринский,доходы,2018,Доходы: итого,http://budget.mos.ru,28.5
Гагаринский,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,13.5
Гагаринский,расходы,2018,"Культура, кинематография",http://budget.mos.ru,4
Гагаринский,расходы,2018,Социальная политика,http://budget.mos.ru,0.7
Гагаринский,расходы,2018,Физическая культура и спорт,http://budget.mos.ru,8
Гагаринский,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.5
Гагаринский,расходы,2018,Расходы: итого,http://budget.mos.ru,26.8
Головинский,доходы,2018,Налоговые доходы,http://budget.mos.ru,9.2
Головинский,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0.2
Головинский,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,26.9
Головинский,доходы,2018,Доходы: итого,http://budget.mos.ru,36.3
Головинский,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,18.6
Головинский,расходы,2018,"Культура, кинематография",http://budget.mos.ru,6.8
Головинский,расходы,2018,Социальная политика,http://budget.mos.ru,1.1
Головинский,расходы,2018,Физическая культура и спорт,http://budget.mos.ru,5.5
Головинский,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.6
Головинский,расходы,2018,Расходы: итого,http://budget.mos.ru,32.6
Гольяново,доходы,2018,Налоговые доходы,http://budget.mos.ru,9.4
Гольяново,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Гольяново,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.7
Гольяново,доходы,2018,Доходы: итого,http://budget.mos.ru,11.1
Гольяново,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7.3
Гольяново,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.2
Гольяново,расходы,2018,Социальная политика,http://budget.mos.ru,0.4
Гольяново,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.5
Гольяново,расходы,2018,Расходы: итого,http://budget.mos.ru,9.5
Даниловский,доходы,2018,Налоговые доходы,http://budget.mos.ru,8.4
Даниловский,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0.06
Даниловский,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.5
Даниловский,доходы,2018,Доходы: итого,http://budget.mos.ru,10
Даниловский,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,6.6
Даниловский,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.2
Даниловский,расходы,2018,Социальная политика,http://budget.mos.ru,1.4
Даниловский,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.5
Даниловский,расходы,2018,Расходы: итого,http://budget.mos.ru,9.6
Дмитровский,доходы,2018,Налоговые доходы,http://budget.mos.ru,8
Дмитровский,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Дмитровский,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Дмитровский,доходы,2018,Доходы: итого,http://budget.mos.ru,9.1
Дмитровский,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,6.3
Дмитровский,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.6
Дмитровский,расходы,2018,Социальная политика,http://budget.mos.ru,0.5
Дмитровский,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Дмитровский,расходы,2018,Расходы: итого,http://budget.mos.ru,7.6
Донской,доходы,2018,Налоговые доходы,http://budget.mos.ru,7
Донской,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Донской,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Донской,доходы,2018,Доходы: итого,http://budget.mos.ru,8.1
Донской,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,5.3
Донской,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.7
Донской,расходы,2018,Социальная политика,http://budget.mos.ru,0.6
Донской,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.4
Донской,расходы,2018,Расходы: итого,http://budget.mos.ru,7
Дорогомилово,доходы,2018,Налоговые доходы,http://budget.mos.ru,6.6
Дорогомилово,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Дорогомилово,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.4
Дорогомилово,доходы,2018,Доходы: итого,http://budget.mos.ru,8
Дорогомилово,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7.2
Дорогомилово,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.5
Дорогомилово,расходы,2018,Социальная политика,http://budget.mos.ru,0.4
Дорогомилово,расходы,2018,Средства массовой информации,http://budget.mos.ru,0
Дорогомилово,расходы,2018,Расходы: итого,http://budget.mos.ru,8.2
Замоскворечье,доходы,2018,Налоговые доходы,http://budget.mos.ru,9.1
Замоскворечье,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Замоскворечье,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,13.9
Замоскворечье,доходы,2018,Доходы: итого,http://budget.mos.ru,23
Замоскворечье,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,14.2
Замоскворечье,расходы,2018,Национальная экономика,http://budget.mos.ru,0
Замоскворечье,расходы,2018,"Культура, кинематография",http://budget.mos.ru,4.8
Замоскворечье,расходы,2018,Социальная политика,http://budget.mos.ru,1
Замоскворечье,расходы,2018,Физическая культура и спорт,http://budget.mos.ru,3
Замоскворечье,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.6
Замоскворечье,расходы,2018,Расходы: итого,http://budget.mos.ru,23.5
Западное Дегунино,доходы,2018,Налоговые доходы,http://budget.mos.ru,7.4
Западное Дегунино,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Западное Дегунино,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Западное Дегунино,доходы,2018,Доходы: итого,http://budget.mos.ru,8.5
Западное Дегунино,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,6.7
Западное Дегунино,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.1
Западное Дегунино,расходы,2018,Социальная политика,http://budget.mos.ru,0.5
Западное Дегунино,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Западное Дегунино,расходы,2018,Расходы: итого,http://budget.mos.ru,8.4
Зюзино,доходы,2018,Налоговые доходы,http://budget.mos.ru,9.4
Зюзино,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0.03
Зюзино,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.7
Зюзино,доходы,2018,Доходы: итого,http://budget.mos.ru,11.1
Зюзино,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,6.4
Зюзино,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.4
Зюзино,расходы,2018,Социальная политика,http://budget.mos.ru,1.6
Зюзино,расходы,2018,Средства массовой информации,http://budget.mos.ru,0
Зюзино,расходы,2018,Расходы: итого,http://budget.mos.ru,9.4
Зябликово,доходы,2018,Налоговые доходы,http://budget.mos.ru,7.6
Зябликово,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Зябликово,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.8
Зябликово,доходы,2018,Доходы: итого,http://budget.mos.ru,9.4
Зябликово,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,8
Зябликово,расходы,2018,Национальная безопасность и правоохранительная деятельность,http://budget.mos.ru,0.7
Зябликово,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.9
Зябликово,расходы,2018,Социальная политика,http://budget.mos.ru,0.3
Зябликово,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.5
Зябликово,расходы,2018,Расходы: итого,http://budget.mos.ru,10.5
Ивановское,доходы,2018,Налоговые доходы,http://budget.mos.ru,6.8
Ивановское,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Ивановское,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.7
Ивановское,доходы,2018,Доходы: итого,http://budget.mos.ru,8.6
Ивановское,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,9.2
Ивановское,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.5
Ивановское,расходы,2018,Социальная политика,http://budget.mos.ru,0.6
Ивановское,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.3
Ивановское,расходы,2018,Расходы: итого,http://budget.mos.ru,11.6
Измайлово,доходы,2018,Налоговые доходы,http://budget.mos.ru,8.2
Измайлово,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Измайлово,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.4
Измайлово,доходы,2018,Доходы: итого,http://budget.mos.ru,9.5
Измайлово,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,6.6
Измайлово,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.1
Измайлово,расходы,2018,Социальная политика,http://budget.mos.ru,0.5
Измайлово,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Измайлово,расходы,2018,Расходы: итого,http://budget.mos.ru,8.4
Капотня,доходы,2018,Налоговые доходы,http://budget.mos.ru,8.1
Капотня,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Капотня,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Капотня,доходы,2018,Доходы: итого,http://budget.mos.ru,9.2
Капотня,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7.8
Капотня,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.8
Капотня,расходы,2018,Социальная политика,http://budget.mos.ru,0.6
Капотня,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.2
Капотня,расходы,2018,Расходы: итого,http://budget.mos.ru,9.4
Коньково,доходы,2018,Налоговые доходы,http://budget.mos.ru,10.2
Коньково,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Коньково,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.7
Коньково,доходы,2018,Доходы: итого,http://budget.mos.ru,11.9
Коньково,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7.9
Коньково,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.7
Коньково,расходы,2018,Социальная политика,http://budget.mos.ru,1.8
Коньково,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Коньково,расходы,2018,Расходы: итого,http://budget.mos.ru,10.4
Коптево,доходы,2018,Налоговые доходы,http://budget.mos.ru,9.1
Коптево,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Коптево,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.7
Коптево,доходы,2018,Доходы: итого,http://budget.mos.ru,10.8
Коптево,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,9.8
Коптево,расходы,2018,"Культура, кинематография",http://budget.mos.ru,1.2
Коптево,расходы,2018,Социальная политика,http://budget.mos.ru,1.6
Коптево,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Коптево,расходы,2018,Расходы: итого,http://budget.mos.ru,12.7
Косино-Ухтомский,доходы,2018,Налоговые доходы,http://budget.mos.ru,7.8
Косино-Ухтомский,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0.1
Косино-Ухтомский,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Косино-Ухтомский,доходы,2018,Доходы: итого,http://budget.mos.ru,9
Косино-Ухтомский,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,6.2
Косино-Ухтомский,расходы,2018,"Культура, кинематография",http://budget.mos.ru,2.8
Косино-Ухтомский,расходы,2018,Социальная политика,http://budget.mos.ru,0.8
Косино-Ухтомский,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.5
Косино-Ухтомский,расходы,2018,Расходы: итого,http://budget.mos.ru,10.4
Котловка,доходы,2018,Налоговые доходы,http://budget.mos.ru,6.8
Котловка,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Котловка,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.1
Котловка,доходы,2018,Доходы: итого,http://budget.mos.ru,7.9
Котловка,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,6.9
Котловка,расходы,2018,Национальная безопасность и правоохранительная деятельность,http://budget.mos.ru,0.1
Котловка,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.8
Котловка,расходы,2018,Социальная политика,http://budget.mos.ru,0.7
Котловка,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Котловка,расходы,2018,Расходы: итого,http://budget.mos.ru,8.5
