municipality,type,year,category,source,value
Академический,доходы,2018,Налоговые доходы,http://budget.mos.ru,8.3
Академический,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Академический,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.5
Академический,доходы,2018,Доходы: итого,http://budget.mos.ru,9.8
Академический,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,6.3
Академический,расходы,2018,"Культура, кинематография",http://budget.mos.ru,2
Академический,расходы,2018,Социальная политика,http://budget.mos.ru,0.6
Академический,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.2
Академический,расходы,2018,Расходы: итого,http://budget.mos.ru,9.1
Алексеевский,доходы,2018,Налоговые доходы,http://budget.mos.ru,7.8
Алексеевский,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Алексеевский,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.3
Алексеевский,доходы,2018,Доходы: итого,http://budget.mos.ru,9.1
Алексеевский,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,5.9
Алексеевский,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.3
Алексеевский,расходы,2018,Социальная политика,http://budget.mos.ru,0.9
Алексеевский,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.2
Алексеевский,расходы,2018,Расходы: итого,http://budget.mos.ru,7.2
Алтуфьевский,доходы,2018,Налоговые доходы,http://budget.mos.ru,7
Алтуфьевский,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0
Алтуфьевский,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,1.4
Алтуфьевский,доходы,2018,Доходы: итого,http://budget.mos.ru,8.4
Алтуфьевский,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7.2
Алтуфьевский,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.9
Алтуфьевский,расходы,2018,Социальная политика,http://budget.mos.ru,0.4
Алтуфьевский,расходы,2018,Средства массовой информации,http://budget.mos.ru,0.1
Алтуфьевский,расходы,2018,Расходы: итого,http://budget.mos.ru,8.6
Арбат,доходы,2018,Налоговые доходы,http://budget.mos.ru,6.8
Арбат,доходы,2018,Неналоговые доходы,http://budget.mos.ru,0.1
Арбат,доходы,2018,Безвозмездные поступления,http://budget.mos.ru,0.6
Арбат,доходы,2018,Доходы: итого,http://budget.mos.ru,7.5
Арбат,расходы,2018,Общегосударственные вопросы,http://budget.mos.ru,7
Арбат,расходы,2018,Национальная экономика,http://budget.mos.ru,0
Арбат,расходы,2018,"Культура, кинематография",http://budget.mos.ru,0.5
Арбат,расходы,2018,Социальная политика,http://budget.mos.ru,0.9
