расходы на содержание работников органов местного самоуправления,NA,21698,21619,29875,NA,NA,NA,NA,NA,NA,NA,Вешняки
"Функционирование Правительства Российской Федерации, высших органов исполнительной власти субъектов Российской Федерации,  местных администраций",8835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Национальная безопасность и правоохранительная деятельность,622,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Национальная экономика,48,180,190,78,NA,NA,397,NA,NA,NA,NA,Вешняки
Образование,NA,13587,14247,18114,NA,NA,18187,NA,NA,NA,NA,Вешняки
"Культура, кинематография и средства массовой информации",2675,2100,3245,1193,NA,NA,NA,NA,NA,NA,NA,Вешняки
Культура,NA,2100,2092,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
"Культура, кинематография",NA,NA,NA,NA,NA,NA,890,4885,1970,4890,4798,Вешняки
"Здравоохранение, физическая культура и спорт",NA,"10912,7",13662,11386,NA,NA,NA,NA,NA,NA,NA,Вешняки
Физическая культура и спорт,NA,"10912,7",13662,NA,NA,NA,16300,7893,NA,NA,NA,Вешняки
Бюджетные инвестиции  (физическая культура и спорт) на увеличение стоимости основных средств,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Расходы на оплату труда и начисления на оплату труда  (физическая культура и спорт),NA,NA,3871,NA,NA,NA,NA,NA,NA,NA,NA,Вешняки
Социальная политика,965,NA,NA,NA,NA,NA,NA,NA,560,612,1307,Вешняки
Межбюджетные трансферты общего характера бюджетам бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,11,650,NA,Вешняки
"Доходы местного бюджета, фактически исполненные, тысяча рублей",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Всего,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Налог на доходы физических лиц,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
"Налоги, сборы и регулярные платежи за пользование природными ресурсами",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Безвозмездные поступления,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Безвозмездные поступления от других бюджетов бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Дотации бюджетам бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Субсидии бюджетам бюджетной системы Российской Федерации  (межбюджетные субсидии),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Субвенции бюджетам   бюджетной системы Российской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Иные  межбюджетные трансферты,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Дотации от других бюджетов бюджетной системы Россйской Федерации,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
Доходы от  приносящей доход деятельности,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Восточное Измайлово
